updatedDate,2017/05/25,,,,,,,,
milestoneID,milestoneDesc,milestoneTargetCompletionDate,milestoneStatus,milestoneStatusDesc,commonBaselineArea,dcoiArea,,,
24,"OCIO is conducting a survey of all Level 1, Level 2, and special interest programs to assess appropriate level of agile adoption across DHS (ONGOING, commenced August 2015, anticipated completion date is December 2015.",2016/01/31,Complete,"Reached all major programs which included all Level 1, Level 2 and special interest programs. Of these, 38 are IT programs that develop software. Of these, 33 programs deliver software in 6 month increments or less (87%).",budgetFormulation,nonDataCenter,,,
25,DHS will complete an analysis of the current state of Pre-ADE-1 activities,2015/11/16,Complete,Vendor delivered this report as agreed. ,budgetFormulation,nonDataCenter,,,
26,DHS will develop a proposed framework for streamlining Pre-ADE-1 activities ,2015/12/31,Complete,Vendor has completed this report and delivered same. ,budgetFormulation,nonDataCenter,,,
27,DHS will complete an implementation recommendation plan for streamlining and reporting on Pre-ADE-1 activities,2016/02/29,Complete,The vendor delivered the final roadmap based on recommended steps from report delivered. ,budgetFormulation,nonDataCenter,,,
28,DHS will pilot a streamlined approach to the pre-ADE-1 process with selected programs,2016/05/31,Complete, DHS developed a streamlined pre-ADE strategy which is codified in an Agile Acquisition Charter. All stakeholder DHS offices are engaged in a weekly IPT with the goal to continue to improve the Need and Analyze/Select stages of the ALF.  ,budgetFormulation,nonDataCenter,,,
29,Document and implement the updated and agreed upon processes for PPB phases to ensure CIO has a role in program planning,2016/05/31,Complete,Established a number of processes to ensure the CIO has insight into the IT resources identified during the programming phase of the submission.  ,budgetFormulation,nonDataCenter,,,
30,"Identify and review relevant policies that impact process steps, roles, and responsibilities of the PPB phases to better support analysis and approval of the IT funding portion of the budget",2015/11/06,Complete,Initial list of applicable policies identified and submitted to EBMO Management for review and approval.,budgetFormulation,nonDataCenter,,,
31,Document and model current processes and supporting requirements for the PPB phases,2015/11/06,Complete,Current process models for PPB phases submitted to EBMO management for review and approval.,budgetFormulation,nonDataCenter,,,
32,Identify gaps and opportunities in current processes to address OMB Common Baseline requirements,2015/11/20,Complete,"A list of gaps/opportunities have been drafted, reviewed, and approved for Planning, Budgeting, and Programming. Reviewed by the office of CFO and Policy.",budgetFormulation,nonDataCenter,,,
33,Draft content updates to ensure relevant policies are compliant with OMB Common Baseline requirements,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership.,budgetFormulation,nonDataCenter,,,
34,Work with JRC to determine how to leverage intake for capability requirements to identify new major IT requests ,2016/01/31,Complete,The JRC and JRIMS directives have been approved. JRIMS is in operation for validation of requirements documents. Efforts are on-going to adapt the traditional requirements process to Agile IT development.,budgetFormulation,nonDataCenter,,,
35,"Develop appropriate processes to support review and approval of the IT investment portion of the budget request, resulting in a CIO/CFO joint affirmation statement",2015/11/20,Complete,Target processes developed and approved for Programming and Budget Phase.,budgetFormulation,nonDataCenter,,,
36,OCIO and OCFO will vet program health status and the relationship of budgets under consideration to a plan to resolve unsatisfactory status that has been similarly vetted and approved at the Component level,2016/03/31,Complete,"Component CIOs, CFO, and CAEs collaborated to complete this attachment,  attested to by the Component/Directorate/Office head in the RAP transmittal memo, which must include confirmation that the Component CFO, CIO, and CAE have reviewed and approved the IT portfolio analysis (Attachment I). DHS CIO certifies the Components' IT budget depicted in the RAP submission, reviews the IT and Non-IT Major business cases, compiles the agency's IT Portfolio, and signs the approval letter. ",budgetFormulation,nonDataCenter,,,
37,Collaborate with appropriate stakeholders to develop process models and supporting list of requirements for the target PPB phases ,2016/12/11,Complete,"Target process models have been developed and approved for Planning, Programming and Budget phases.",budgetFormulation,nonDataCenter,,,
38,Validate processes for approval of major IT investment requests,2016/03/31,Complete,"CIO, CFO, CAE collaborated on to complete this attachment is attested to by the Component/Directorate/Office head in the RAP transmittal memo which must include confirmation that the Component CFO, CIO, and CAE have reviewed and approved the IT Portfolio Analysis (Attachment I).",budgetFormulation,nonDataCenter,,,
39,Ensure content updates to policies are approved by all relevant parties and submit updated policies to OMB,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by the DHS Leadership.,budgetFormulation,nonDataCenter,,,
40,Document and implement the updated and agreed upon processes for PPB phases to ensure the CIO has approval of agency IT budget submission to OMB,2016/03/31,Complete,"CIO, CFO, CAE collaborate to complete this attachment is attested to by the Component/Directorate/Office head in the RAP transmittal memo which must include confirmation that the Component CFO, CIO, and CAE have reviewed and approved the IT Portfolio Analysis (Attachment I).  Collaborative review is repeated at the HQ level including review of all the Component Attachment I and RAP submissions.   CIO signs the approval letter submitted to OMB. ",budgetFormulation,nonDataCenter,,,
41,CIO and CFO will coordinate the integration points between both offices to ensure that CIO has appropriate review and approval of the IT investment portion of the budget request,2016/03/31,Complete,OCIO has developed the IT Portfolio Analysis (Attachment I) for each Component to draft resource requests for IT spending that reflect the results of internal Component IT budget planning efforts.  This attachment is then submitted to the DHS CFO as part of the budget request and reviewed by the DHS CIO staff.,budgetFormulation,nonDataCenter,,,
42,"The OCIO ITPM COE will be established as a cross-functional team in EBMO (and will solicit Component involvement) to gather appropriate best practices, to determine pain points, and to address these pain points to provide a standardized path to success for ITPMs",2015/11/12,Complete,"Website completed, announced to the Department, and monthly meetings established. Briefed fellow EBMO division directors on the ITPM Center of Excellence (COE) and their involvement moving forward. ",budgetExecution,nonDataCenter,,,
43,"The OCIO ITPM COE will develop IT performance metrics for Level 1 and Level 2, and special interest program to ensure programs are delivering value and meeting business objectives",2015/11/12,Complete,"IT Performance Metrics already gathered by the INVEST (CPIC) team and Program Health Assessment teams will be promoted by the ITPM COE. In addition, incremental software development and delivery will be tracked in accordance with MD-102/SELC requirements. ITPM COE will review low scoring programs in order to triage assistance and coaching. ITPM COE will seek Component input on additional performance metrics.",budgetExecution,nonDataCenter,,,
44,"OCIO and PARM will develop specific requirements to review and validate the performance metrics for Level 1, Level 2, and Special interest programs within the ARB reviews",2015/12/15,Complete,"The Acquisition Program Health Assessment (APHA) process was initiated in March 2015 and is continuing to mature. As part of the maturation, a policy instruction document under the MD 102-01 has been drafted for review. The purpose of the instruction is to promulgate the necessary actions required to develop an accurate and timely APHA for the major acquisition programs of the Department. Instruction will be provided for USM review/signature after the Component review process is completed.",budgetExecution,nonDataCenter,,,
45,"OCIO will leverage the updated DHS TechStat process to conduct root cause analysis to establish or develop action items, and provide support to failing or troubled programs",2015/11/20,Complete,OCIO has initiated a TechStat for the DHS COP program. ,budgetExecution,nonDataCenter,,,
46,PARM and OCIO will update the process to ensure CIO IT PMCOE is fully engaged in reviewing IT performance metrics and strategies to ensure programs are delivering value and meeting business objectives,2015/12/04,Complete,"IT Performance Metrics already gathered by the INVEST (CPIC) team and Program Health Assessment teams will be promoted by the ITPM COE. In addition, incremental software development and delivery will be tracked in accordance with MD 102-01/SELC requirements. ITPM COE will review low scoring programs in order to triage assistance and coaching. ITPM COE will seek PARM and Component input on additional performance metrics to ensure consistency and completeness of metrics.",budgetExecution,nonDataCenter,,,
47,OCIO and PARM will coordinate and harmonize the IT program assessment and engagement functions between both offices,2015/12/31,Complete,"The Acquisition Program Health Assessment (APHA) is a holistic, objective, repeatable process to assess the current health of DHS major acquisition programs. The resulting and still evolving process and methodology, referred to as the APHA Tool, can be applied to assess the current state from an acquisition perspective of a program. When the APHA Tool reports from multiple programs are combined, similar assessments of the health of a portfolio or a Component can be accomplished and summarized. ",budgetExecution,nonDataCenter,,,
48,Initiate process to update Directive 142-04 (IT Integration and Management) to reflect CIO roles/responsibilities for IT performance metric ,2015/12/31,Complete,"Updated the Directive and submitted to the Policy Office for the DHS CIO and Component CIOs: DHS CIO - Develops and enforces IT performance metrics for Level 1, Level 2, and special interest programs to ensure programs are delivering value and meeting business objectives. Component CIO - Ensure all Level 1, Level 2, and special interest programs are delivering value and meeting business objectives in accordance with IT Performance Metrics established by the DHS CIO.",budgetExecution,nonDataCenter,,,
49,"The ITPM COE will create ITPM standard operating procedures, best practices guides, an ITPM Toolkit, and best of breed Document Templates (CM Plan, PMP, QMP, RMP, etc.)",2016/03/31,Complete,"Products were created, saved to the ITPM COE website, and announced to the ITPM COE distribution list.",budgetExecution,nonDataCenter,,,
50,Document requirements for collecting and validating planned expenditure reporting for IT investments,2016/02/15,Complete,"EBMO has documented the current state of operations for what INVEST currently captures for planned expenditures, what gaps exist in the capture and reporting processes, and the proposed target approach and supporting requirements for capturing/reporting planned expenditures. ",budgetExecution,nonDataCenter,,,
51,Document current capabilities for collecting and validating planned expenditure reporting for IT investments,2016/02/15,Complete,"EBMO has documented the current state of operations for what INVEST currently captures for planned expenditures, what gaps exist in the capture and reporting processes, and the proposed target approach and supporting requirements for capturing/reporting planned expenditures.  ",budgetExecution,nonDataCenter,,,
52,Identify gaps in current capabilities where OMB Common Baseline requirements are not satisfied,2016/02/15,Complete,"EBMO has documented the current state of operations for what INVEST currently captures for planned expenditures, what gaps exist in the capture and reporting processes, and the proposed target approach and supporting requirements for capturing/reporting planned expenditures. ",budgetExecution,nonDataCenter,,,
53,Document proposed methods to capture planned expenditures for IT investments,2016/02/15,Complete,"EBMO has documented the current state of operations for what INVEST currently captures for planned expenditures, what gaps exist in the capture and reporting processes, and the proposed target approach and supporting requirements for capturing/reporting planned expenditures.  ",budgetExecution,nonDataCenter,,,
54,"Update guidance and documentation to collect the appropriate amount of information needed to better support analysis, planning, and recommendations related to planned IT expenditures",2016/03/31,Complete,Requirements have been provided to the INVEST development team and awaiting implementation of change request. ,budgetExecution,nonDataCenter,,,
55,Implement the updated and agreed upon processes and methods for planned expenditure reporting for IT investments,2016/04/30,Complete,Implemented processes and methods for planned expenditure reporting in INVEST system as part of ongoing investment management efforts.,budgetExecution,nonDataCenter,,,
56,Identify gaps in current process where OMB Common Baseline requirements are not satisfied and/or do not align with overarching PortfolioStat policy and guidance,2015/11/13,Complete,Process gaps being addressed are those in Portfolio Stat processes themselves and/or DHS implementation of Portfolio Stat processes.  All Portfolio Stat reporting streams will be assessed to identify gaps and recommend policy and process improvements. ,budgetExecution,nonDataCenter,,,
57,"Identify relevant policies that impact process steps, roles, and responsibilities for CFO budget execution reporting and PortfolioStat budget execution reporting requirements ",2016/01/31,Complete,A mapping of PortfolioStat requirements to FITARA requirements has been completed but must be approved by OCIO stakeholders. ,budgetExecution,nonDataCenter,,,
58,"CFO, CIO, Chief Readiness Support Officer (CRSO), and PLCY will update policy, guidance, and documentation to collect the appropriate amount of information needed to better support analysis, planning, and recommendations related to IT budget execution across CFO and PortfolioStat reporting requirements",2016/03/31,Complete,Implemented processes and methods for planned expenditure reporting in INVEST system as part of ongoing investment management efforts.,budgetExecution,nonDataCenter,,,
59,Collaborate with stakeholders to develop Process Models and supporting list of requirements for the target review and reporting of IT budget execution to support PortfolioStat reporting requirements,2015/12/11,Complete,Policies were reviewed and there were no necessary changed identified.,budgetExecution,nonDataCenter,,,
60,Ensure content updates to policies are approved by all relevant parties and submit updated policies to OMB,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval to DHS Leadership.,budgetExecution,nonDataCenter,,,
61,The CFO and CIO implement the updated and agreed upon processes for IT budget execution reporting,2016/04/30,Complete,The CFO and CIO implemented updated and agreed upon processes for planned expenditure reporting using INVEST that will provide CIO visibility into planned IT budget execution for all IT investments.,budgetExecution,nonDataCenter,,,
62,"Identify relevant process steps, roles, and responsibilities within each review phase of the SELC for CIO certification",2015/11/06,Complete,"The SELC Technical Review Guide (TRG) currently references the CIO as the Lead Technical Authority (LTA) for IT investments. The LTA approves each review phase of the SELC. The first reference of the LTA is under the Roles, Responsibilities and Authorities, and in the various sections identifying the participants at each technical review. This provides evidence of how the CIO will be inserted into the decision/investment discussions based on the LTA being the DHS CIO per SELC Instructions. ",budgetExecution,nonDataCenter,,,
63,Collaborate with PARM stakeholders to develop process models and supporting list of requirements for CIO certification of SELC reviews related to IT initiatives only,2015/11/12,Complete,"The SELC Technical Review Guide (TRG) currently references the CIO as the Lead Technical Authority (LTA) for IT investments. The LTA approves each review phase of the SELC. The first reference of the LTA is under the Roles, Responsibilities and Authorities, and in the various sections identifying the participants at each technical review. This provides evidence of how the CIO will be inserted into the decision/investment discussions based on the LTA being the DHS CIO per SELC Instructions.",budgetExecution,nonDataCenter,,,
64,"CIO, PARM, and S&T Will review the Technical Review Guide to ensure it includes the CIO's certification of incremental development or scope of the SELC reviews to ensure that the process sufficiently addresses various IT resource categories  ",2015/11/12,Complete,CIO certification of incremental software development was placed in the Technology Reference Guide. ,budgetExecution,nonDataCenter,,,
65,Verify that changes in process models reflect updates to relevant policies,2015/11/20,Complete,"DHS MD 102-01 Instructions are updated and signed by the USM. The Instructions include appropriate CIO involvement in the Acquisition Life Cycle and SELC processes. While the Guidebooks is pending USM signature, all documentation is available to Components for immediate use as 'tailored' versions of existing guidance (by approval of PARM, CIO, and S&T).",budgetExecution,nonDataCenter,,,
66,"Conduct survey of all Level 1, Level 2, and special interest programs to assess level of agile adoption across DHS; this activity is ongoing, commenced August 2015",2016/03/31,Complete,"Reached all major programs. Of these, 38 are IT programs that develop software. Additionally, 33 programs deliver software in 6 month increments or less (87%).",budgetExecution,nonDataCenter,,,
67,Submit approved target process models and supporting operating process manuals/guidance,2015/12/11,Complete,"All MD 102-01/SELC Instructions and Guidebooks (and supplemental guidance) are located on the EBMO SELC website under the 'Governance' section. Most of the documents are in draft format as noted previously. These instructions were approved by USM, and the Guidebooks are awaiting signature by the USM.",budgetExecution,nonDataCenter,,,
68,"PARM will incorporate Agile guidebook and instruction, and SELC guidebook and instruction into the D102",2015/12/31,Complete,"All of these governance documents are covered under the D-102; however, they have been signed by the USM. The SELC Instruction is signed, but the other three documents are still pending approval by the USM. However, all are available and encouraged for use in 'working draft' form.",budgetExecution,nonDataCenter,,,
69,"PARM, CIO, and S&T will incorporate CIO certification of incremental development or scope of the SELC reviews to ensure that the process sufficiently addresses various IT resource categories for all gate reviews",2015/12/31,Complete,CIO certification of incremental software development was placed in the Technology Reference Guide. ,budgetExecution,nonDataCenter,,,
70,"PARM, OCFO, OCPO, and OCIO will update existing processes and approved policies to ensure CIO reviews major program (Levels 1 and 2) acquisition plans for programs that include IT resources, including incremental development principles, shared services, category management, strategic sourcing, and incremental or modular contracting ",2016/03/31,Complete,"The new process includes DHS CIO review of and signature on Acquisition Plans (APs) for Level 1, 2 and Level 3 investments, and Component CIO review of and signature on APs for all other Level 3 investments.  The policies governing the AP review process are the Homeland Security Acquisition Manual (HSAM) and AP Planning Guide. On February 28, 2017, the HSAM was updated to reflect that Component CIO review and signature is required for acquisition plans that include information technology. ",budgetExecution,nonDataCenter,,,
71,"DHS OCIO will augment the list of IT governance boards on which the CIO participates with a description of the authority, scope, and CXO membership of those boards",2015/11/15,Complete,"Completed augmentation of the list of IT governance boards on which the CIO already participates with the authority, scope, and CXO membership of these boards.    ",budgetExecution,nonDataCenter,,,
72,DHS will identify all IT governance boards on which the CIO should participate in accordance with FITARA,2016/03/31,Complete,"Surveyed and captured comprehensive list of IT Governance Boards across DHS, along with information on the authority of the boards and CIO participation. ",budgetExecution,nonDataCenter,,,
73,DHS will recommend charter amendments to non-compliant boards to make the CIO a voting member,2015/07/26,Complete,"During March EBMO contacted the POCs for the boards lacking CIO participation to establish a process for adding the appropriate CIO representative. Note that participation on some of these boards will be delegated to Component CIOs, which will need to be documented in an assignment plan. ",budgetExecution,nonDataCenter,,,
92,Identify gaps in current TechStat process where OMB Common Baseline requirements are not satisfied,2015/11/12,Complete,"Two policies have been identified and will be updated and go through the policy change, review and approval cycle.  Plan of action developed.",budgetExecution,nonDataCenter,,,
93,"Identify relevant policies that impact process steps, roles, and responsibilities within TechStat",2015/11/12,Complete,"Two policies have been identified and will be updated and go through the policy change, review and approval cycle.  Plan of action developed.",budgetExecution,nonDataCenter,,,
94,Initiate updates to Management Directive 102-03 to reflect FITARA requirements and corresponding process documentation to properly align with all business controls and responsibilities for every relevant role included within the TechStat process,2016/03/31,Complete,Content updates have been vetted and have been submitted into formal review process as of 3/31/2016.,budgetExecution,nonDataCenter,,,
95,Ensure content updates to policies are approved by all stakeholders with equities and submit updated policies to OMB,2016/03/31,Complete,Content updates have been vetted and have been submitted into formal review process as of 3/31/2016,budgetExecution,nonDataCenter,,,
96,"OCIO will develop specific criteria, ConOps, and train Component CIO staff to conduct TechStat accountability sessions",2017/09/30,Complete ,"Currently DHS has a procedure in place to conduct TechStat reviews. The TechStat Directive and Instructions 102-03 Revision Number: 01 TechStat Accountability Sessions has been signed after all comments from all Components had been vetted and adjudicated as of May 17, 2017.  ",budgetExecution,nonDataCenter,,,
97,"The CIO will initiate TechStat reviews for chronically red programs and as a member of the ARB, will make recommendations to modify, terminate or pause IT based on criteria identified in FITARA",2016/02/28,Complete,"TechStat reviews are currently being completed by EBMO, and programs identified as Red are currently undergoing the TechStat process.  ",budgetExecution,nonDataCenter,,,
104,OCIO will coordinate with OCFO Budget Division to develop and document an approval process for OCIO coordination for reprogramming,2015/11/13,Complete,Target process developed for Reprogramming phase.  OCIO by law is not required to approve reprogramming/transfer decisions.,budgetExecution,nonDataCenter,,,
105,"Identify relevant policies that impact process steps, roles, and responsibilities within IT reprogramming and transfer request process",2015/12/11,Complete,"Preliminary list of policies has been identified, and approved for revision. ",budgetExecution,nonDataCenter,,,
106,OCIO and OCFO will ensure content updates to policies are reviewed by all stakeholders with equities and submit updated policies to OMB,2016/03/31,Complete,Policy content has been drafted and submitted for review and approval by DHS Leadership.,budgetExecution,nonDataCenter,,,
107,OCFO and OCIO will revise relevant OCFO and OCIO documentation and processes to reflect CIO approval of Component’s requests for reprogramming and transfer requests of IT resources,2016/04/30,Complete,Any reprogramming/transfer request impacting IT resources must be reviewed by the Component CIO prior to the Department’s consideration.  These requests will also be reviewed by DHS CIO before submission to OMB/Congress. ,budgetExecution,nonDataCenter,,,
74,"PARM and OCIO will document existing process model to ensure that IT acquisitions are led by personnel with appropriate federal acquisition certification (FAC), including specialized IT certification as appropriate",2015/11/20,Complete,PARM is working with HSAI and OCIO to generate a report using the Federal Acquisition Institute Training Application System (FAITAS) System (used by multiple Federal Agencies) as the governing authority. OCIO will work with PARM and the DHS Homeland Security Acquisition Institute (HSAI) to review the FAITAS workflow process in order to insert a skillset review of IT Acquisitions prior to assignment to an IT Program in compliance to the Office of Federal Procurement Policy (OFPP) Memo.  ,acquisition,nonDataCenter,,,
75,"PARM, with OCIO input, will ensure that DHS Management Directive 102 is updated as appropriate to reflect changes in the CIO roles/responsibilities and align with FITARA guidelines",2015/11/20,Complete,"EBMO is engaged with the SELC Core Team (consisting of PARM and OCIO members) providing input into MD102 guidelines and procedures which includes  review and input to critical Program artifacts, PM Training to meet program requirements, and engagement with various overarching committees (i.e. JRC).  ",acquisition,nonDataCenter,,,
76,Identify where supplemental guidance is needed for federal acquisition certification (FAC),2015/11/20,Complete,"OCIO, PARM, & HSAI currently have an established workflow data capture that aligns with the OFPP Memo on Federal Acquisition Certification (FAC).  OCIO is taking a more pronounced role in defining the required supplemental guidance and screening criteria for IT professionals to have the proper certification. ",acquisition,nonDataCenter,,,
77,Identify gaps in current process for acquisition strategy plans where OMB Common Baseline Requirements are not satisfied,2015/12/11,Complete,Developed As-Is and To-Be Acquisition Plan review process models for CPO.  We have reviewed existing policy and prepared an AS-IS model that we have validated with CPO ,acquisition,nonDataCenter,,,
78,"Identify relevant policies that impact process steps, roles, and responsibilities for acquisition plans",2016/03/31,Complete,Reviewed the Acquisition Plan policies and determined changes needed to codify CIO review of Acquisition Plans.,acquisition,nonDataCenter,,,
79,"OCFO/CAD, OCPO, PARM, and OCIO will document existing process models and supporting list of requirements for LCCE",2016/07/29,Complete,"OCFO/CAD has indicated that they require some additional time to make the required changes to the DHS Cost Estimating Handbook. In addition, we would expect that the LCCE Board would be stood up and meeting. ",acquisition,nonDataCenter,,,
80,"In collaboration with OCIO, OCPO will determine and amend/issue procurement policy/oversight guidance and procedures ",2016/03/31,Complete,"The HSAM and AP Acquisition Planning Guide have been updated to reflect DHS CIO review and signature of Acquisition Plans for major programs as of March 31, 2016 and are in the review process to acquire the signature of the Chief Procurement Officer. On February 28, 2017, the HSAM was updated to reflect that Component CIO review and signature is required for acquisition plans that include information technology.   ",acquisition,nonDataCenter,,,
81,"OCIO, supported by OCPO and PARM will implement the updated and agreed upon processes to ensure CIO review of strategy/acquisition plans, including incremental acquisition and development principles ",2016/06/15,Complete,"The process for CIO review and signature of Level 1, 2, and Level 3 Acquisition Plans has been approved.   The Homeland Security Acquisition Manual and Acquisition Planning Guide have been updated to require CIO review and signature of Acquisition Plans. ",acquisition,nonDataCenter,,,
82,Identify gaps in current process for LCCE review board process where OMB Common Baseline requirements are not satisfied,2016/07/29,Complete,"OCFO/CAD has completed a final draft of the updated Cost Estimating Handbook Chapter (which includes the LCCE Review Board and other topics) for inclusion to the “DHS Financial Management Policy Manual (FMPM).” It has been delivered to the CFO Front Office for review and comment.  Upon comment resolution/acceptance, CFO will include this new chapter and announce it at an upcoming CFO Council in August 2016.
",acquisition,nonDataCenter,,,
83,OCFO and OCIO will update existing processes to include OCIO through a LCCE review board process. Additional guidance will be given to DHS Components to establish a similar review board where Component CIOs have the opportunity to review the LCCE,2016/07/29,Complete,OCFO/CAD has completed a final draft of the updated Cost Estimating Handbook Chapter (which includes the LCCE Review Board and other topics) for inclusion to the “DHS Financial Management Policy Manual (FMPM).”  ,acquisition,nonDataCenter,,,
84,Ensure content updates to policies for acquisition strategy plans are approved by stakeholders with equity and in compliance with related OMB policy ,2016/03/31,Complete,"The HSAM and Acquisition Planning Guide have been updated to reflect DHS CIO review and signature of Acquisition Plans for major programs as of March 31, 2016.  This review occurs before APs are approved by the Chief Procurement Officer. On February 28, 2017, the HSAM was updated to reflect that Component CIO review and signature is required for acquisition plans that include information technology.   ",acquisition,nonDataCenter,,,
